Abdun,عبدون
Jabal Bastah,جبل بسطة
Jabal Di3am,جبل ديعام
Jabal al Abyad,جبل الابيض
Jabal al Ghazl,جبل الغزل
Jabal al Hutah,جبل الحوتة
Jabal al Jilf,جبل الجلف
Jabal al Mubarrad,جبل المبرد
Jabrunah,جبرونه
Jadaat Al Jubur,جدعات الجبر
Janna3h,جناعة
Jarash,جرش
Jawa,جاوا
Jibal Abu Tarah,جبال ابو طراح
Jibal Ash Sharah,جبال الشراه
Jibal Raas An Naqb,راس النقب
Jibal Samrat Qunayy,جبال سمرات قناي
Jilaad,جلعد
Jurat As Salamah,جرة السلامة
Kafr Ad Durrah,كفر الدرة
Kafr Hudah,كفر هدا
Kafr Lahiya,كفر لحيه
Kafr Saham,كفر سهام
Karak,الكرك
Karm Abbas,كرم عباس
Kawm Yajuz,كوم ياجوز
Khallat As Sakhri,خلاط الصخري
Khashm Al Qatrah,خصم القطرة
Khashm As Sawwanah,خشم السوانة
Khawkhah,خوخا
Khilda,خلدا
Khirbat 3yatah,خربة عياطة
Khirbat Abu Al Khass,خربة ابو الكاس
Khirbat Abu Az Zaytun,ابو الزيتون
Khirbat Abu Hadid,خربة ابو حديد
Khirbat Abu Hamid,خربة ابو حامد
Khirbat Abu Murhaf,خربة ابو مرهف
Khirbat Abu Najrah,خربة أبو نجرة
Khirbat Abu Tinah,خربة ابو تينة
Khirbat Ad Dahmaa,خربة الدهماء
Khirbat Ad Dala3i,خربة الدلعي
Khirbat Ad Dawsaq,خربة الدوساق
Khirbat Ad Duway7ilah,خربة الدواحله
Khirbat Ad Duwayr,خربة الدواير
Khirbat Afna,خربة عفنا
Khirbat Al Ainab,خربة العنب
Khirbat Al Amn,خربة الامن
Khirbat Al Arnab,خربة الارنب
Khirbat Al Askar,خربة العسكر
Khirbat Al Baydaa3,خربة بيدع
Khirbat Al Biddiyah,خربة البيديا
Khirbat Al Braah,خربة البراه
Khirbat Al Dier,خربة الدير
Khirbat Al Haddadah,خربة الحدادة
Khirbat Al Hammah,خربة الحمّة
Khirbat Al Huwayrah,خربة الحوايرة
Khirbat Al Jalamah,خربة الجلامه
Khirbat Al Kawm,خربة الكوم
Khirbat Al Kawm,خربة الكاوم
Khirbat Al Kawm,الكوم
Khirbat Al Khadraa,خربة الخضراء
Khirbat Al Kharijah,خربة الخريجة
Khirbat Al Kharsaah,خربة الخرسا
Khirbat Al Kharshah,خربة الكرشه
Khirbat Al Kufayrat,خربة الكفيرات
Khirbat Al Mansurah,خربة المنصورة
Khirbat Al Maqlub,خربة المقلوب
Khirbat Al Marama,خربة المراما
Khirbat Al Mata7ah,خربة المتاحه
Khirbat Al Mawbarah,خربة الموبرة
Khirbat Al Mayasir,خربة الميسّر
Khirbat Al Mishmas,خربة المشماس
Khirbat Al Mu3allaqah,خربة المعلّقة
Khirbat Al Mudawwarah,خربة المدورة
Khirbat Al Mukhayzin,خربة المخيزن
Khirbat Al Muqbilah,خربة المقبلة
Khirbat Al Musalla,خربة المسلا
Khirbat Al Mushayrifah,خربة المشيرفة
Khirbat Al Mushimmin,خربة المشّيمين
Khirbat Al Mushrif,خربة المشرف
Khirbat Al Qabw,خربة القبو
Khirbat Al Qarn,خربة القرن
Khirbat Al Qashab,خربة القشاب
Khirbat Al Qattaf,خربة القطاف
Khirbat Al Qunaytirah,خربة القناطرة
Khirbat Al Qurayn,خربة القراين
Khirbat Al Qusayr,خربة القصاير
Khirbat An Naqi3,خربة النقع
Khirbat An Naqqaz,خربة النقّاز
Khirbat An Nasraniyah,خربة النصرانية
Khirbat An Nuriyah,خربة النارية
Khirbat Ar Rashuni,خربة الرشوني
Khirbat Ar Rumaythah,خربة الرمايثة
Khirbat Ar Rusayfah,خربة الرصيفة
Khirbat As Sa3adah,خربة السعدة
Khirbat As Sa7ilah,خربة الساحله
Khirbat As Safraa,خربة الصفراء
Khirbat As Safsafah,خربة الصفصافة
Khirbat As Sahbaniyah,خربة الصحبانية
Khirbat As Salus,خربة السالس
Khirbat As Sasiyah,خربة الساسية
Khirbat As Sawari,خربة الصواري
Khirbat As Sila3,خربة السلع
Khirbat As Suwaydiyah,خربة السويدية
Khirbat As Suwayrat,خربة الصويرات
Khirbat Ash Shamaail,خربة الشمالي
Khirbat Ash Shawahid,خربة الشواهد
Khirbat Ash Shaykh Hussien,خربة الشيخ حسين
Khirbat Ash Shaykh Issa,خربة الشيخ عيسى
Khirbat Ash Shaykh Mohammed,خربة الشيخ محمد
Khirbat Ash Shaykh Ulayyan,خربة الشيخ عليان
Khirbat Ash Shubaykah,خربة الشبايكة
Khirbat Ash Shubbak,خربة الشباك
Khirbat Assaf,خربة عساف
Khirbat At Tantur,خربة التنطور
Khirbat At Tur,خربة الطور
Khirbat Awash,خربة عواش
Khirbat Ayyub,خربة أيوب
Khirbat Az Zaqibah,خربة الزقبة
Khirbat Badibda,خربة بضبضة
Khirbat Badran,خربة بردان
Khirbat Bassat Khalaf,خربة باسات خلف
Khirbat Butaynah,خربة بطاينة
Khirbat Darayya,خربة درايا
Khirbat Dawhalah,خربة دوحلا
Khirbat Dayr Al 3sal,خربة داير العسل
Khirbat Dayr Ilyus,خربة دير اليوس
Khirbat Falah,خربة فلاح
Khirbat Farah,خربة فرح
Khirbat Fitnah,خربة فتنة
Khirbat Furayj,خربة فريج
Khirbat Furayqi3,خربة فريقع
Khirbat Furaywan,خربة فروان
Khirbat Hazzar,خربة هزار
Khirbat Id3an,خربة ادعان
Khirbat Inb Awaf,ابن عوف
Khirbat Iraq Ar Rashdan,خربة عراق الرشدان
Khirbat Jami3 An Nuway7ir,خربة جامع النواحير
Khirbat Jarayya,خربة جرايا
Khirbat Jarmayah,خربة الجرمايه
Khirbat Juraybah,خربة جريبا
Khirbat Khaniq Al Lawz,خربة خانق اللوز
Khirbat Khanna,خربة خنة
Khirbat Khaww,خربة خو
Khirbat Ma3afir,خربة معفر
Khirbat Mabrak,خربة مبرك
Khirbat Madinat Ar Raas,خربة مدينة الرأس
Khirbat Mahrama,خربة محرمة
Khirbat Makhul,خربة مخل
Khirbat Manwah,خربة منوة
Khirbat Mar Ilyas,خربة مار الياس
Khirbat Marqa3ah,خربة مرقعة
Khirbat Mashhad,خربة مشهد
Khirbat Miryamin,خربة مريامن
Khirbat Mishraqa,خربة مشرقة
Khirbat Nassar,خربة نصار
Khirbat Qaraqush,خربة قرقوش
Khirbat Qasr Ad Dayr,خربة قصر الديار
Khirbat Qirfill,خربة قرفل
Khirbat Rakisah,خربة ركسان
Khirbat Rufayfah,خربة رفايفة
Khirbat Rujm Ash Shawk,خربة رجم الشوك
Khirbat Sabrah,خربة صبرا
Khirbat Sal3uf,خربة السلعوف
Khirbat Salim,خربة سالم
Khirbat Sarabis,السرابيس
Khirbat Sartaba,خربة سرطبة
Khirbat Sha3tha,خربة شعثا
Khirbat Shamsin,خربة شمسين
Khirbat Sharhabeel,خربة شرحبيل
Khirbat Shawmar,خربة شومر
Khirbat Shih7an,خربة شيحان
Khirbat Shin,خربة شين
Khirbat Sibya,خربة صابية
Khirbat Siqya,خربة سقية
Khirbat Sir,خربة سير
Khirbat Siran,خربة سيران
Khirbat Subhi,خربة صبحي
Khirbat Sumyia,خربة سمية
Khirbat Tadun,خربة تضون
Khirbat Tha3laa,خربة ثعلاء
Khirbat Tumayrah,خربة تمايرة
Khirbat Umaydat,خربة عميدات
Khirbat Umayrah,خربة عميرة
Khirbat Umm A3landah,خربة ام علندا
Khirbat Umm Al 3imad,خربة ام العماد
Khirbat Umm Al Abar,خربة ام الآبار
Khirbat Umm Al qtat,خربة ام القطاط
Khirbat Umm An Naml,خربة ام النمل
Khirbat Umm Qantarah Ash Sharqiyah,خربة ام قنطرة الشرقية
Khirbat Umm Rummanah,خربة أم رمانة
Khirbat Umm Rummanah,خربة ام رمانة
Khirbat Umm Rummanah,خربة ام رمانه
Khirbat Umm Tall,خربة ام تل
Khirbat Umm al Kuub,خربة ام الكعوب
Khirbat Us3us,خربة عسعس
Khirbat Wada3ah,خربة وضعة
Khirbat Ya3mun,خربة يعمون
Khirbat Yajuz,خربة ياجوز
Khirbat Yisna,خربة يسنى
Khirbat Zabbubah,خربة زبوبة
Khirbat Zabdah,خربة زبدة
Khirbat Zabdah,خربة زبده
Khirbat Zahrat Ar Ru3yis,خربة زهرة الرعيس
Khirbat Zambut Mulayk,خربة زمبوط
Khirbat al Baqah,خربة البقعة
Khirbat al Basiliyah,خربة البيسلية
Khirbat al Khirwaa,خربة الخرواء
Khirbat al Maghar,خربة المغار
Khirbat al Majdal,خربة المجدل
Khirbat al Miraa3h,خربة المرعى
Khirbat al Murayghah,خربة الريغة
Khirbat al Mushayrifah,خربة المشيرفة
Khirbat al Qabw,خربة القبو
Khirbat al Qarn,خربة القرن
Khirbat al Qasr,خربة القصر
Khirbat as Sab3ah,خربة السبعة
Khirbat as Sakhinah,خربة السخنة
Khirbat as Samraa,خربة السمراء
Khirbat ash Shaykh Rashid,خربة الشيخ رشيد
Khirbat ِl Kannar,خربة الكنار
Khirbt An Nilah,خربة النيلة
Khunayzir,خنيزر
Kufayr Al Wakhyan,كفاير الوخيان
Kufayrat Abu Kinan,كفيرات ابو كنان
Kufr Anja,كفر عنجة
Ma3ad,معاد
Ma3amel At Toob,معامل الطوب
Ma3lakah,معلكا
Maan,معان
Madaba,مادبا
Madashsh Wadi Himarah,مداشش وادي حمرا
Maeen,ماعين
Mafraq,المفرق
Mahaaif Az Zabaair,محائف الزبائر
Maharib Ad Dibs,محراب الدبس
Mahattat Al Jufur,محطة الجفر
Mahis Wa Al Fuhays,ماحص والفحيص
Majadil,مجادل
Majdala,مجدلة
Makhfar Gharandal,مخفر غرندل
Makhfar al La3ban,مخفر اللعبان
Mamarr Ad Dawaain,ممر الدواعين
Maqta3 D7ayl Al Faras,مقطع دحايل الفرس
Maqta3 Ruaus Al Manja3ah,مقطع رؤوس المنجعة
Marhaba,مرحبا
Marj Abu 3amirah,مرج ابو عميرة
Marj Abu Al Kharram,مرج ابو الخرّام
Marj Al Mawali,مرج الموالي
Marj Kawkash,مرج كوكش
Marj Zubayd,ثغرة زبيد
Marka,ماركا
Mashru3 Tawtin Al Badu,مشروع توطين البدو
Mawzah,موزة
Mazar Abu Ubaydah,مزار أبو عبيدة
Mihna,محنا
Mleah,مليح
Moab,مؤاب
Mohammed Salih,محمد صالح
Mudallalah,مدللة
Muhafaza Irbid,محافظة اربد
Muhafazat Ajlun,محافظة عجلون
Muhafazat Al Aqabah,محافظة العقبة
Muhafazat Al Balqa,محافظة البلقاء
Muhafazat Al Karak,محافظة الكرك
Muhafazat Al Mafraq,محافظة المفرق
Muhafazat Amman,محافظة عمان
Muhafazat Maan,محافظة معان
Muhafazat Madaba,محافظة مادبا
Muhafazat Zarqa,محافظة الزرقاء
Muhafazat at Tafilah,محافظة الطفيلة
Mukhayyam Damiya,مخيم دامية
Mukhayyam Jabal AL Hussien,مخيم جبل الحسين
Mukhayyam Suf,مخيم صوف
Musaymirah,مسايمره
Mushayrifah Ash Sharqiyah,مشيرفة الشرقية
Mushayrifah,مشيرفة
Mwaqqar,الموقّر
Naaur,ناعور
Naharayim,نحرايم
Nakhal,نخل
Naqb Ar Ruba3i,نقب الرباعي
Nasib,ناصب
Nessar,نصار
Nijil,نجيل
Nuqayb Al Bawl,نقيب البل
Nushaynish,نشاينش
Qa3afur,قعفور
Qal3at al Qasa,قلعة القسا
Qaraqush,قرقوش
Qasabat  Ajloun,قصبة عجلون
Qasabat Al Aqabah,قصبة العقبة
Qasabat Al Karak,قصبة الكرك
Qasabat Al Mafraq,قصبة المفرق
Qasabat Al Zarqa,قصبة الزرقاء
Qasabat Amman,قصبة عمان
Qasabat As Salt,قصبة السلط
Qasabat Jarash,قصبة جرش
Qasabat Maan,قصبة معان
Qasabat Madaba,قصبة مادبا
Qasr Abu Al Anaya,قصر ابو العنايا
Qasr Al Bint,قصر البنت
Qasr Al Kharanah,قصر الخرانة
Qasr An Nuwayjis,قصر النويجس
Qasr As Safraa,قصر الصفراء
Qasr At Tamrah,قصر التمرا
Qasr Mushash,قصر المشاش
Qasr Rakisah,قصر ركسان
Qasr Usaykhim,قصر السيخم
Qasr al Madunah,قصر المدونة
Qasr at Tilah,قصر التلة
Qimmat Abu al Hussien,قمة ابو الحسين
Qinan Al Mintar,قنان المنطر
Qir Moav,قر مواف
Qufayqif,قفيقف
Qulay3at,قليعات
Qulban Bani Murrah,قلبان بني مرة
Qullat Ash Shin,قلعة الشين
Qurayyat Nafi3,قرية نافع
Qusayb,قصيب
Qusur Rishan,قصر ريشان
Raas Ad Duwayriyah,رأس الدورية
Raas Al Ayn,راس العين
Raas Al Ghawr,رأس الغور
Raas Al Jurn,رأس الجرن
Raas Al Khaymah,رأس الخيمة
Raas An Naqb,راس النقب
Raas At Tilm,رأس التلم
Raas Ayn Al sharah,رأس عين الشراه
Raas Mu3ayqil,رأس معيقل
Raas Mulayh,رأس مولاي
Raas Wadi As Saqrah,رأس وادي الصقرة
Raas al Qubur,رأس القبور
Ramah,رماح
Rawdat An Nar,روضة النار
Ruaaysat Al Khalidi,رؤيسة الخالدي
Rujaym Salim,رجم سالم
Rujm Abu Al Hisani,رجم ابو الحيساني
Rujm Al Absi,رجم العبسي
Rujm Al Hawi,رجم الحاوي
Rujm Al Hays,رجم الحايس
Rujm Al Madba3ah,رجم المضبعة
Rujm Al Mashnaqah,رجم المشنقة
Rujm Al Midmar,رجم المدمار
Rujm Al Mu3mini,رجم المعميني
Rujm Al Mudawwarah,رجم المدورة
Rujm Al Murayjib,رجم المريجب
Rujm Al Qarrami,رجم القرامي
Rujm Ash Shajarah,رجم الشجرة
Rujm Ash Shara3airah,رجم الشراعرة
Rujm Ash Sharif,رجم الشريف
Rujm Ash Shubayl,رجم الشوبلي
Rujm Ash Shumus,رجم الشومس
Rujm Az Zaniyah,رجم الزانيه
Rujm Fuhud,رجم فهود
Rujm Ghunaym,رجم غنايم
Rujm Khashm As Sirah,رجم خشم اصراح
Rujm Maghaghah,رجم مغاغة
Rujm Shajarat al Hunayti,رجم شجرة الحنيطي
Rujm Tal3at Az Zalmaa,رجم تلعة الزلماء
Rujm Umm Zurur,رجم أم الزعرور
Rujm Za3in,رجم زاعن
Rujm ash Shumaysani,الشميساني
Rukays,ركيس
Ruwath,رواث
Sabha,صبحة
Sabir,صابر
Safi,صافي
Sahab,سحاب
Sahat Al Qaryah,ساحات القرى
Sahl Al Balqa,سهل البلقاء
Sakkaa,سكاع
Salah Ad Din,صلاح الدين
Salakhid,سلخد
Salman,سلمان
Sama As Sarhan,سما السرحان
Sarrut,سروت
Sayl Ray`a,صايل رايع
Sha3annab,شعنب
Sharifat Al Khalakhil,شريفة الخلاخيل
Shariq Bank,شرق بنك
Shary,شاري
Shunat Nimrin,شونة نمرين
Sihan,سيحان
Siran,سيران
Subayrah,سبيره
Sudur,صدور
Suhayban,سحيبان
Suhayy Al Khatatibah,سهي الخطاطبة
Suhayyat Owda,سويحات عودة
Sulayman An Nasir,سليمان النصير
Sumyia,سمية
Suwayfiyah,الصويفية
Suwaylih,صويلح
Tab Kiraa3,طاب كراع
Taba,طابا
Tabaqat Nasrah,طبقات ناصرة
Tabarbawr,طبربور
Taff Yusha3,طاف يوشع
Tafilah,الطفيلة
Tal Burma,تل برما
Tal3at Omer,تلعة عمر
Tall Abu Al Fakhkhar,تل ابو الفخار
Tall Abu al Hummus,تل ابو الحمص
Tall Al Gharabah,تل الغرابة
Tall Al Husayn,تل الحساين
Tall Al Hussien,تل الحسين
Tall Al Khalifah,تل الخليفة
Tall Al Khulayfah,تل الخليفة
Tall Al Matabi3,تل المتابع
Tall Al Mistah,تل المستة
Tall Ar Ru3us,تل الرعوس
Tall As Sabbah,تل صباح
Tall As Sumayhiyat,تل السماحيات
Tall Az Zu3rur,تل الزعرور
Tall Habib,تل حبيب
Tall Mashhad,تل مشهد
Tall Musa,تل موسى
Tall Uwaymir,تل العويمر
Tall al Kharabah,تل الخرابة
Theeban,ذيبان
Tilal As Sifr,تلال السفر
Ulayya,عليا
Um Al Basatin,أم البساتين
Um Al Jimal,أم الجمال
Um Al Qutaien,أم القطعين
Um Al Rasas,أم الرساس
Um Al Sommaq,أم السماق
Umm Al Ahjar,أم الهجر
Umm Al Awtad,ام الاوتاد
Umm Al Fats,ام الفتس
Umm Kariyah,ام كربة
Umm Kharrubah,ام خروبة
Umm Mathla,ام مثلة
Umm Nukhaylah,ام نخيلة
Umm Nuwarah,ام نوارة
Umm Rummana,ام رمانة
Umm Rummanah,ام الرمانه
Umm Rusum,ام رسم
Umm Sawwanah,ام سوانة
Umm Sawwanah,ام الصوان
Umm Suwaywinah,ام سواينة
Umm Tall,أم تل
Umm Tinah,ام تينة
Umm Zaba3air,ام زباعير
Umm Zu`rurah,ام زعرورة
Umm Zuwaytinah,ام زويتنة
Umm ar Rakhm,ام الرخام
Urjan Al Gharbiyah,عرجان الغربية
Urjan Al Sharqiyah,عرجان الشرقية
Urqoub Rashid,عرقوب راشد
Urqub Abu al Fatais,عرقوب ابو الفطايص
Urqub As Samman,عرقب السمان
Urqub Sabha,عرقب صبحا
Uyun Adh Dhiab,عيون الذيب
Wa3rat Al Mislaq,ورعات المسلاق
Wa3rat An Namlah,ورعات النمله
Wadi Abdun,وادي عبدون
Wadi Al Balu3,وادي البلع
Wadi Al Mawjib,وادي الموجب
Wadi Al Qurr,وادي القور
Wadi Amman,وادي عمان
Wadi Araba,وادي عربة
Wadi As Si3ah,وادي السعه
Wadi As Sir,وادي السير
Wadi Az Zulayl,وادي الزليل
Wadi Khunayzirah,وادي خنيزرة
Wadi Suaaydah,وادي صعايدة
Wadi an Nukhaylah,وادي النخايلة
Wuhaydah,وحايدة
Yajuz,ياجوز
Zabaair Al Qastal,القسطل
Zabaair Udwan,زبائر عدوان
Zabdah,زبده
Zahrat Ad Dimnah,زهرة الدمنى
Zahrat Al Jud,زهرة الجود
Zahrat Al Mataris,زهرة المتارس
